"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",2004,41791,41791,41791,41791,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2005,31260,31260,31260,31260,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2006,20819,20819,20819,20819,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2007,13490,13490,13490,13490,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2008,126972,126972,126972,126972,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2009,64024,64024,64024,64024,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2010,182122,182122,182122,182122,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2011,45326,45326,45326,45326,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2012,103098,103098,103098,103098,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2013,42930,42930,42930,42930,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2014,194937,194937,194937,194937,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2015,20415,20415,20415,20415,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2016,87371,87371,87371,87371,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2017,35257,35257,35257,35257,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2018,56175,56175,56175,56175,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2019,29251,29251,29251,29251,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2020,79399,79399,79399,79399,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2021,19231,19231,19231,19231,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2022,104958,104958,104958,104958,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2023,32130,32130,32130,32130,"OsoSkaInd","Osoyoos-Skaha Indicator",NA,"OsoSkaInd","Osoyoos-Skaha Indicator"
"Sockeye",2004,41791,41791,41791,41791,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2005,31260,31260,31260,31260,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2006,20819,20819,20819,20819,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2007,13490,13490,13490,13490,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2008,126972,126972,126972,126972,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2009,64024,64024,64024,64024,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2010,182122,182122,182122,182122,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2011,45326,45326,45326,45326,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2012,103098,103098,103098,103098,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2013,42930,42930,42930,42930,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2014,194937,194937,194937,194937,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2015,20415,20415,20415,20415,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2016,87371,87371,87371,87371,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2017,35257,35257,35257,35257,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2018,56175,56175,56175,56175,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2019,29251,29251,29251,29251,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2020,79399,79399,79399,79399,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2021,19231,19231,19231,19231,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2022,109644,109644,109644,109644,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2023,32144,32144,32144,32144,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU",NA,"OsoSkaOkaCU","Osoyoos-Skaha-Okanagan CU"
"Sockeye",2004,41791,41791,41791,41791,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2005,31260,31260,31260,31260,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2006,20819,20819,20819,20819,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2007,13490,13490,13490,13490,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2008,126972,126972,126972,126972,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2009,64024,64024,64024,64024,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2010,182122,182122,182122,182122,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2011,35900,35900,35900,35900,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2012,90862,90862,90862,90862,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2013,33820,33820,33820,33820,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2014,145206,145206,145206,145206,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2015,10255,10255,10255,10255,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2016,54281,54281,54281,54281,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2017,9893,9893,9893,9893,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2018,30755,30755,30755,30755,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2019,12913,12913,12913,12913,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2020,46510,46510,46510,46510,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2021,10457,10457,10457,10457,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2022,75437,75437,75437,75437,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
"Sockeye",2023,17238,17238,17238,17238,"Osoyoos","Osoyoos Lake",NA,"Osoyoos","Osoyoos Lake"
