"","Year","15 Mile Creek","25 Mile Creek","Ankwill Creek","Bivouac Creek","Blackwater Creek","Consolidated Creek","Crow Creek","Driftwood River","Dust Creek","Forfar Creek","Frypan Creek","Gluske Creek","Kastberg Creek","Kotsine River","Lion Creek","Lovell Creek","Maclaing Creek","Narrows Creek","O'Ne-ell Creek","Paula Creek","Point Creek","Porter Creek","Sakeniche River","Sandpoint Creek","Shale Creek","Sidney Creek","Sinta Creek","Van Decar Creek"
"1",1950,25,244,32,1088,NA,NA,0,67,527,5341,33,4787,NA,NA,NA,1,76,874,8681,0,20,NA,110,0,295,0,0,3412
"2",1951,3,3,11,0,NA,NA,0,28,0,6455,23,1904,NA,NA,NA,1,0,208,16158,0,0,NA,0,0,90,0,0,4868
"3",1952,23,83,81,7,NA,NA,7,2,120,2837,36,2748,NA,NA,NA,10,23,351,7186,0,0,NA,18,0,88,0,0,1864
"4",1953,402,1097,2992,4634,NA,NA,448,4545,8547,9793,2310,7533,NA,NA,NA,2275,1332,10418,8253,711,134,NA,1712,1059,1927,407,236,3362
"5",1954,20,101,27,216,NA,NA,0,194,567,3188,129,2832,NA,NA,0,13,2,1339,7005,18,11,NA,0,247,136,123,0,1840
"6",1955,0,0,0,0,NA,NA,0,0,2,33,0,45,NA,NA,NA,0,2,12,700,0,0,NA,0,2,0,0,0,595
"7",1956,2,0,59,0,NA,NA,0,18,214,3495,30,3246,NA,NA,NA,0,13,493,6175,0,27,NA,0,0,93,0,0,2790
"8",1957,254,343,3794,4907,NA,NA,1768,18992,8696,9558,1933,11352,NA,NA,NA,3174,1900,8655,8103,3906,385,NA,3092,11213,920,3494,950,4461
"9",1958,81,169,355,2,0,NA,0,1138,2219,5031,33,1189,0,0,0,0,85,1384,5338,257,132,0,366,664,491,372,0,2655
"10",1959,0,1,0,0,NA,NA,0,3,1,141,1,49,0,0,0,0,0,84,537,23,0,NA,0,0,2,16,0,439
"11",1960,20,45,27,8,NA,NA,104,15,207,920,11,995,NA,NA,NA,0,0,299,2201,27,0,NA,0,47,75,91,0,2274
"12",1961,433,744,7160,406,NA,NA,439,39852,4394,5152,4035,2759,NA,NA,NA,2531,279,3761,5790,618,318,NA,830,1480,1149,1275,0,2382
"13",1962,13,13,157,4,NA,NA,151,213,560,2576,131,986,NA,NA,NA,5,6,343,4462,219,25,NA,560,131,165,866,0,2517
"14",1963,0,9,2,0,NA,NA,0,5,0,410,2,0,NA,NA,NA,0,0,102,1161,0,0,NA,0,0,5,0,0,894
"15",1964,0,0,1,0,NA,NA,1,0,0,15,0,105,NA,NA,NA,0,0,11,604,0,0,NA,0,2,13,9,0,539
"16",1965,48,136,1696,120,NA,NA,177,2343,711,1072,119,931,NA,NA,NA,247,22,643,1161,38,158,NA,0,340,45,703,0,462
"17",1966,0,0,49,0,NA,NA,72,80,98,1050,33,924,NA,NA,NA,38,0,154,1968,0,0,NA,0,0,29,558,0,906
"18",1967,0,0,10,0,NA,NA,7,25,116,2663,13,785,NA,NA,NA,0,0,274,3395,13,0,NA,0,0,63,280,0,3523
"19",1968,0,0,0,0,NA,NA,0,0,0,72,0,10,NA,NA,NA,0,0,15,425,0,0,NA,0,0,0,11,0,259
"20",1969,94,0,7745,467,NA,NA,175,17022,1617,4550,1304,1861,NA,NA,NA,1050,406,2527,5522,0,332,NA,294,313,317,1787,0,659
"21",1970,0,0,115,0,NA,NA,179,900,414,3118,65,2521,NA,NA,NA,77,52,65,2393,281,0,NA,0,166,16,1357,0,3966
"22",1971,10,238,110,1190,NA,NA,253,168,837,11678,77,6947,NA,NA,NA,43,0,1833,11173,794,85,NA,0,914,261,1710,69,6743
"23",1972,0,0,0,0,NA,NA,0,21,7,324,0,283,NA,NA,NA,0,2,43,1202,0,0,NA,0,0,2,15,0,354
"24",1973,559,351,11640,907,NA,NA,1880,67665,10854,8736,3206,9715,NA,NA,NA,5527,1146,2794,10885,1544,1094,NA,1578,1658,1768,3791,357,2101
"25",1974,4,0,290,22,0,NA,542,1009,478,3326,201,2656,NA,NA,NA,153,152,248,5928,1147,11,NA,25,304,183,1757,0,3057
"26",1975,0,19,40,958,NA,NA,62,8,407,2844,34,4420,0,NA,0,6,29,662,10165,725,20,0,23,792,32,964,0,3370
"27",1976,0,0,14,162,NA,NA,0,0,19,737,19,543,NA,NA,NA,0,10,115,3605,36,0,NA,NA,199,33,69,0,1162
"28",1977,312,81,3253,482,NA,NA,364,26451,5325,1650,1873,2264,NA,NA,NA,1631,362,1086,2706,419,196,NA,61,666,955,991,0,838
"29",1978,54,0,640,73,NA,NA,228,2004,212,3838,162,1846,0,NA,0,130,0,312,4043,637,0,0,51,195,214,2379,0,2726
"30",1979,0,0,77,936,NA,NA,61,98,216,5893,73,4086,0,0,0,17,0,652,13856,1036,12,0,0,419,86,1586,0,6196
"31",1980,0,0,0,36,NA,NA,0,0,10,1074,3,369,NA,NA,NA,0,0,75,4486,0,0,NA,0,86,0,103,0,1089
"32",1981,476,582,4857,184,661,NA,460,23793,2415,5854,867,5785,741,545,319,1394,218,1709,7379,896,456,1994,0,680,1054,3352,0,4004
"33",1982,7,0,21,0,NA,NA,23,13,56,340,19,230,NA,NA,NA,1,NA,41,605,27,0,NA,0,2,11,205,0,556
"34",1983,14,0,27,522,NA,NA,103,0,65,2024,29,2089,NA,NA,NA,8,9,524,3917,474,52,NA,NA,413,77,788,0,1943
"35",1984,5,0,47,304,NA,NA,120,NA,125,3364,64,3337,NA,NA,NA,0,10,700,7958,266,0,NA,NA,661,143,699,0,4054
"36",1985,194,262,5974,475,140,71,891,46988,2771,9702,1380,8947,379,589,188,1884,294,1920,9886,1674,1016,140,1049,811,822,9965,0,8268
"37",1986,17,0,677,32,0,NA,359,39,187,2496,144,1763,NA,NA,NA,51,0,554,3576,93,72,NA,4,101,203,2015,0,2754
"38",1987,135,922,774,310,0,NA,297,0,758,10916,443,9628,NA,NA,NA,336,0,5959,19606,3061,507,NA,338,1992,1597,5157,0,8393
"39",1988,51,40,224,2026,NA,NA,322,33,2239,11706,224,8053,NA,NA,NA,144,0,3592,25088,4284,97,NA,10,2607,253,7465,0,9440
"40",1989,632,523,5600,1154,562,NA,774,128253,6573,5958,2823,5041,876,NA,1917,2711,316,3655,12661,4223,803,5777,589,390,1238,8871,NA,3362
"41",1990,80,432,766,451,NA,NA,285,2655,1596,7831,962,5960,NA,NA,0,392,0,2144,10090,1833,216,NA,157,600,591,5046,NA,3324
"42",1991,261,697,1633,685,NA,NA,966,1018,1910,13200,928,9690,0,NA,607,609,0,4209,17000,4986,136,0,1063,1050,1169,9642,55,8109
"43",1992,87,724,425,41,0,NA,725,225,394,7166,242,1771,0,NA,5,85,NA,1326,6267,1026,351,50,495,170,725,5554,NA,7865
"44",1993,333,523,6289,6543,1023,NA,2042,228526,28300,10315,2874,12532,1182,735,3796,3455,1150,3427,11419,12878,1992,6218,592,3434,1391,20790,1988,5615
"45",1994,2,47,353,339,1,NA,91,825,170,2515,193,1951,0,NA,NA,11,0,288,2148,539,83,453,0,271,128,2245,0,1781
"46",1995,32,211,523,1324,57,NA,459,1341,470,8734,580,7877,0,0,33,228,60,995,14652,4300,216,431,606,729,492,4963,0,5612
"47",1996,122,273,875,797,17,NA,534,374,962,4385,799,4589,NA,NA,150,367,332,1661,5379,2650,299,382,106,1139,819,7739,0,3061
"48",1997,377,598,881,1043,340,NA,1419,4654,21041,3374,890,3828,82,325,823,259,1273,3420,6170,3408,790,1510,938,1928,489,3812,1350,3874
"49",1998,129,102,408,0,13,NA,140,2567,842,436,294,475,0,1,18,143,58,496,713,307,218,579,85,22,119,732,0,325
"50",1999,6,8,21,169,0,NA,12,38,108,847,43,758,0,0,2,11,4,141,2642,397,15,16,32,53,26,668,0,1825
"51",2000,291,337,428,649,261,NA,363,381,2638,2990,804,1925,0,0,527,230,417,1906,4805,2061,267,367,382,792,455,3349,342,3247
"52",2001,331,471,2262,1691,455,NA,1306,4412,11449,6438,2043,4946,0,135,944,1159,882,4511,7748,5957,455,2265,345,2091,776,8509,1368,3695
"53",2002,33,17,474,73,8,NA,261,1919,1207,1057,232,1196,0,189,234,232,126,754,1134,380,127,414,171,115,189,1248,86,321
"54",2003,0,0,130,41,0,NA,20,169,179,1236,39,782,0,0,0,0,5,144,2027,379,2,50,22,37,79,812,0,617
"55",2004,2,0,85,72,9,NA,82,178,209,623,52,676,0,0,8,0,9,157,1010,243,0,45,0,130,31,803,92,419
"56",2005,239,5,1039,968,393,NA,756,4755,6946,2882,786,1908,0,255,782,649,1027,2707,6158,2878,465,1674,233,1441,585,4338,1129,3003
"57",2006,90,0,716,48,37,NA,22,2187,380,1756,580,1272,0,247,235,13,24,806,2312,565,135,665,195,0,136,2116,6,1059
"58",2007,0,0,12,33,1,NA,8,25,23,444,7,335,0,0,0,0,0,48,799,50,0,24,0,31,3,218,0,299
"59",2008,0,0,104,115,0,NA,238,189,206,1764,147,1226,0,0,0,0,0,320,5179,646,75,135,26,169,37,2170,0,1280
"60",2009,65,0,756,678,3,NA,304,3126,1280,1732,884,982,0,90,64,362,19,1220,2135,1496,177,606,216,577,237,3277,136,923
"61",2010,137,138,2040,30,26,NA,59,11239,387,2092,1096,0,0,1862,3,469,0,1278,5698,348,197,1481,105,0,215,3273,20,1779
"62",2011,1,0,0,0,0,NA,0,4,36,40,2,10,0,0,0,0,0,22,52,15,0,0,0,0,0,16,0,35
"63",2012,7,0,10,16,2,NA,30,30,125,1220,17,878,0,0,0,21,0,107,1892,260,26,46,1,94,12,699,0,1261
"64",2013,115,69,1889,447,199,NA,351,8312,3166,3053,1141,1508,0,217,95,640,336,1131,2916,1742,312,2227,61,600,406,5521,334,1821
"65",2014,197,134,1040,0,148,NA,40,6371,342,1878,393,1179,0,650,0,695,23,651,3674,36,221,1482,5,0,370,2079,0,1331
"66",2015,22,0,73,0,0,NA,5,214,279,993,73,316,NA,1,0,0,73,226,615,20,24,88,0,0,31,554,0,410
"67",2016,15,0,1,0,0,NA,3,13,29,694,9,266,0,0,1,6,14,89,1475,53,5,0,0,15,0,515,0,434
"68",2017,33,0,145,47,0,NA,55,267,154,1396,144,705,0,7,0,8,2,306,1452,33,19,352,0,81,70,1464,0,386
"69",2018,110,67,414,0,10,NA,40,3586,1299,2626,216,1134,0,305,0,272,0,564,2506,69,278,2024,51,0,289,4524,0,952
"70",2019,1,0,1,NA,0,NA,0,0,6,15,0,0,0,0,NA,0,0,5,7,2,0,0,0,0,1,3,0,5
"71",2020,0,0,0,NA,0,NA,0,0,0,6,0,1,0,0,NA,0,0,0,4,1,0,0,0,0,0,2,NA,0
"72",2021,149,318,591,110,0,NA,124,1058,970,4846,472,2185,0,47,45,313,58,1198,4605,383,163,274,67,149,445,5800,0,1397
"73",2022,44,125,36,121,NA,NA,41,362,413,601,48,248,0,35,13,52,23,363,618,221,82,26,2,55,85,805,15,634
"74",2023,22,2,239,0,0,NA,0,417,116,851,77,168,0,77,0,17,0,322,300,0,32,364,45,0,61,591,0,125
