"","Pop_Name","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","Timing.Group","DU_ID"
"203","Little River",46228,46228,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"204","Loftus Creek",45085,45085,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"205","Loftus Creek",3438,NA,NA,NA,"t4",NA
"206","Logger Landing",3375,3375,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"207","Long Cr. - Shore",3376,3376,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"208","Long Creek",45058,45058,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"209","Lost Valley Creek Shore",7644,7644,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t4",NA
"210","Lovell Creek",45594,45594,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"211","Lower Shuswap River",46429,46429,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"212","Lynx Cr. - Shore",3355,3355,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"213","Lynx Creek",45069,45069,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"214","Maclaing Creek",45591,45591,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"215","Mann Creek",46670,46670,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"216","Mara Lake - shore",3090,3090,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"217","Maria Slough",47092,NA,NA,NA,"t4",NA
"218","Marten Cr. - Shore",3377,3377,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"219","Marten Creek",45059,45059,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"220","McDougall Creek",45579,45579,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"221","McKinley Creek",45043,45043,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"222","McKinley Creek, lower",45043,45043,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"223","McKinley Creek, upper",45098,45098,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"224","McNomee Creek",45014,45014,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"225","McNomee Creek",45015,45015,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"226","Middle River",45552,45552,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"227","Middle River (Rossette Bar)",45551,45551,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"228","Middle Shuswap River",46439,46439,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"229","Middle Shuswap River",46440,46440,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"230","Miller Creek",46117,46117,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"231","Mitchell River",46913,46913,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"232","Moffat Creek",45042,45042,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"233","Momich River",46269,46269,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"234","Momich River - shore",3411,3411,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"235","Momich River, lower",46268,NA,NA,NA,"t2",NA
"236","Momich River, upper",45084,NA,NA,NA,"t2",NA
"237","Mystery Creek",46063,46063,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"238","N. End Chilko Lake",45080,45080,"L-06-03","CHILKO-SUMMER TIMING","t3",NA
"239","Nahatlatch Lake",45094,45094,"L-05-02","NAHATLATCH-EARLY SUMMER TIMING","t2",NA
"240","Nahatlatch River",47157,47157,"L-05-02","NAHATLATCH-EARLY SUMMER TIMING","t2",NA
"241","Nahounli Creek",45537,NA,NA,NA,"t1",NA
"242","Nancut Creek",3092,NA,NA,NA,"t1",NA
"243","Narrows Creek",45586,45586,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"244","Nechako River",45993,NA,NA,NA,"t3",NA
"245","Niagara Creek",45071,45071,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"246","Nikwikwaia Creek",45008,45008,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"247","Nikwikwaia Creek",45009,45009,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"248","Nithi River",45522,45522,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"249","Noisy Creek",46509,46509,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"250","North Arm - shore, Bowling to Goose Pt.",3382,3382,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"251","North Arm - shore, Roaring to Deception Pt.",3383,3383,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"252","North Arm - unnamed cove",3386,3386,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"253","North Boise Creek",7691,7691,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"254","North Thompson River",46580,46580,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"255","O'Ne-ell Creek",45570,45570,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"256","Olsen Creek",1874,NA,NA,NA,"t2",NA
"257","Onyx Creek",46298,46298,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"258","Onyx Creek",46299,46299,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"259","Onyx Creek - shore",3399,3399,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"260","Opa Beach",3378,3378,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"261","Ormond Creek",46023,NA,NA,NA,"t3",NA
"262","Paula Creek",45557,45557,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"263","Pemberton Creek",46112,46112,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"264","Penfold Camp Shore",3379,3379,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"265","Penfold Creek",45060,45060,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"266","Peninsula Bay",3358,3358,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"267","Perry River",45026,45026,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"268","Perry River",45027,45027,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"269","Pinchi Creek",45539,45539,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"270","Pitt Lake",45095,45095,"L-03-05","PITT-EARLY SUMMER TIMING","t4",NA
"271","Point Creek",45585,45585,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"272","Pomeroy Creek",3220,NA,"L-07-01","BOWRON-EARLY SUMMER TIMING","t2",NA
"273","Poole Creek",46102,46102,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"274","Popal Creek",45526,NA,NA,NA,"t2",NA
"275","Portage Creek",47181,47181,"L-06-11","SETON-LATE TIMING","t4",NA
"276","Porter Creek",45602,45602,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"277","Quartz Point",3356,3356,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"278","Queest Creek - shore",3391,3391,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"279","Quesnel Lake",45099,45099,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"280","Quesnel River",46873,46873,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"281","Raft Creek",45038,NA,NA,NA,"t3",NA
"282","Raft River",46710,46710,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"283","Railroad Creek",46147,46147,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"284","Reinecker Creek",46388,46388,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"285","Reinecker Creek - shore",3406,3406,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"286","Roaring Point",3380,3380,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"287","Roaring R. - Shore",3381,3381,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"288","Roaring River",45063,45063,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"289","Rock Slide",3357,3357,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"290","Ross Creek",46308,46308,NA,NA,"t2",NA
"291","Ross Creek",46309,46309,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"292","Ross Creek - shore",3400,3400,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"293","Ruby Creek",47110,NA,NA,NA,"t4",NA
"294","Ryan River",46122,46122,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"295","S. End Chilko Lake",45081,45081,"L-06-02","CHILKO-EARLY SUMMER TIMING","t2",NA
"296","Sakeniche River",45577,45577,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"297","Sakeniche River",45578,45578,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"298","Salmon River",46399,46399,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"299","Salmon River",46400,46400,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"300","Sampson Creek",46152,46152,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"301","Sandpoint Creek",45576,45576,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"302","Scotch Creek",46288,46288,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"303","Scotch Creek",46289,46289,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"304","Scotch Creek - shore",3401,3401,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"305","Service Creek",3081,3081,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"306","Seymour River",46328,46328,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"307","Seymour River",46329,46329,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"308","Shale Creek",45588,45588,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"309","Shuswap L. - Main Arm north side",3397,3397,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"310","Shuswap L. - Main Arm south side",3398,3398,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"311","Shuswap L. - Salmon Arm east side",3403,3403,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"312","Shuswap L. - Salmon Arm north side",3404,3404,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"313","Shuswap L. - Salmon Arm south side",3405,3405,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"314","Shuswap Lake",45764,45764,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"315","Shuswap Lake - Anstey Arm",7421,7421,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"316","Shuswap Lake - Main Arm",7424,7424,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"317","Shuswap Lake - Salmon Arm",7423,7423,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"318","Shuswap Lake - Seymour Arm",7422,7422,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"319","Sicamous Creek",7638,7638,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"320","Sidney Creek",45558,45558,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"321","Silver Hope Creek",47117,NA,NA,NA,"t4",NA
"322","Sinmax Creek",46258,46258,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"323","Sinmax Creek",46259,46259,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"324","Sinmax Creek - shore",3412,3412,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"325","Sinta Creek",45580,45580,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"326","Slate Bay",3359,3359,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"327","Slate Bay, 1 km east",3360,3360,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"328","Sloquet Creek",46093,46093,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"329","Slough Creek",7696,7696,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"330","South Boise Creek",7692,7692,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"331","South Thompson River",46218,46218,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"332","Sowchea Creek",45538,NA,NA,NA,"t1",NA
"333","Sowchea Creek",3218,3218,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"334","Spring Creek",46093,46093,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"335","Spruce Creek",7762,7762,"L-06-01","ANDERSON/SETON-EARLY SUMMER TIMING","t2",NA
"336","Spusks Creek",3082,3082,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"337","Spuzzum Creek",47150,NA,NA,NA,"t4",NA
"338","Steelhead Creek",46049,46049,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING","t4",NA
"339","Stellako River",46013,46013,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"340","Stuart Lake",45090,45090,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"341","Stuart River",2457,2457,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"342","Sucker Creek",47125,NA,NA,NA,"t4",NA
"343","Sue Creek",3083,3083,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"344","Summit Creek",45074,45074,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"345","Sus Creek",3221,NA,NA,NA,"t2",NA
"346","Sweetnam Creek",44733,44733,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"347","Swift Creek",46953,NA,NA,NA,"t2",NA
"348","Tachie River",45549,45549,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"349","Tagetochlain Creek",45526,NA,NA,NA,"t2",NA
"350","Taillefer Creek",7743,7743,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"351","Takla Lake",45091,45091,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"352","Takla Lake - shore",7003,7003,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"353","Taku Creek",3084,3084,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"354","Tappen Creek",46389,46389,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"355","Tarnezell Creek",3085,NA,NA,NA,"t1",NA
"356","Taseko Lake",46853,46853,"L-06-16","TASEKO-EARLY SUMMER TIMING","t2",NA
"357","Tasse Creek",3086,3086,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"358","Tasse Creek - shore",3387,3387,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"359","Texas Creek",47178,NA,NA,NA,"t4",NA
"360","Thompson River",46157,NA,NA,NA,"t4",NA
"361","Tildesley Creek",45078,45078,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"362","Tipella Creek",46078,46078,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"363","Tipella Slough",46078,46078,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"364","Tisdall Creek",3414,3414,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"365","Tliti Creek",45076,45076,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"366","Tliti Creek (10 Mile)",45076,45076,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"367","Trickle Creek",3087,3087,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"368","Trinity Creek",46480,46480,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"369","Trout Lake Creek",46059,46059,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING","t4",NA
"370","Tsuius Creek",46529,46529,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"371","Tsuius Creek - Shore",7642,7642,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"372","Two Mile Creek - shore",7634,7634,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"373","Uncha Creek",45523,45523,"L-06-07","FRANCOIS/FRASER-SUMMER TIMING","t3",NA
"374","Unnamed Creek",7633,7633,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"375","Upper & Lower Seton Channels",45103,NA,NA,NA,"t3",NA
"376","Upper Pitt Channel",7693,7693,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"377","Upper Pitt River",47917,47917,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"378","Van Decar Creek",45569,45569,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"379","Vanishing Creek - shore",3392,3392,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"380","Vedder River",46981,NA,NA,NA,"t4",NA
"381","Wahleach Creek",47099,NA,NA,NA,"t4",NA
"382","Wap Creek",46519,46519,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"383","Wasko Creek",45065,45065,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"384","Wasko Creek - shore",3384,3384,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"385","Wasko Creek - Upper",3263,3263,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"386","Watt Cr. - Shore",3385,3385,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"387","Watt Creek",45062,45062,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"388","Weaver Channel",45087,45087,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING","t4",NA
"389","Weaver Creek",46044,46044,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING","t4",NA
"390","West Road River",45983,NA,NA,NA,"t3",NA
"391","WestRoad River",45983,NA,NA,NA,"t3",NA
"392","Whiffle Creek",3088,3088,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"393","Widgeon Creek",7763,NA,NA,NA,"t3",NA
"394","Widgeon Slough",47954,47954,"R-02","WIDGEON","t3",NA
"395","Williams Lake River",2804,NA,NA,NA,"t3",NA
"396","Winkley Creek",45040,NA,NA,NA,"t3",NA
"397","Yalakom River",47231,NA,NA,NA,"t3",NA
"398","Yale Creek",47147,NA,NA,NA,"t4",NA
"399","Yard Creek",45024,45024,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"400","Yard Creek",45025,45025,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"401","Yoheta Creek, lower",7630,7630,NA,NA,"t2",NA
"402","Yoheta Creek, upper",7631,7631,"L-06-16","TASEKO-EARLY SUMMER TIMING","t2",NA
